# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
1.0801275032945478e-09	-0.002632359	-0.008493026	0.77301663	0	0	0.24991988	4.911757e-16	-4.0761298e-16	4.4073726e-16	6.643364e-16	-2.0257673e-16	-8.382458	750	2.740838e-06
1.0901184810737003e-09	0.0011117943	-0.0072870594	0.77211535	0	0	0.24990988	4.9094114e-16	-4.0703168e-16	4.402072e-16	6.6357265e-16	-2.0233244e-16	-7.0281887	750	2.322997e-06
1.1000984335635102e-09	0.00473135	-0.0050823246	0.77280706	0	0	0.24989988	4.9213747e-16	-4.077658e-16	4.4072482e-16	6.646669e-16	-2.0250567e-16	-6.9698806	750	3.013695e-06
1.1101429195650941e-09	0.005126681	-0.0025271303	0.77496314	0	0	0.24988985	4.8287035e-16	-4.0911996e-16	4.4221023e-16	6.612175e-16	-2.0306244e-16	-7.430608	750	3.8502653e-06
1.1200101764591789e-09	0.0031280275	-0.0015275854	0.7749466	0	0	0.24988005	5.017405e-16	-4.0870655e-16	4.4186075e-16	6.620054e-16	-2.0305006e-16	-3.3983672	750	2.7558003e-06
1.130091421637379e-09	0.0008296869	-0.0018330938	0.77372086	0	0	0.24986985	4.926783e-16	-4.080006e-16	4.4084235e-16	6.614364e-16	-2.0272075e-16	-8.237055	750	4.04059e-06
1.1400628923280981e-09	-0.0013626114	-0.0026218235	0.77381265	0	0	0.24986002	4.984214e-16	-4.0851256e-16	4.4142177e-16	6.6257056e-16	-2.027367e-16	-10.129982	750	3.1141376e-06
1.1501086062070802e-09	0.0015684464	-0.0011175359	0.7734214	0	0	0.24984983	4.848694e-16	-4.0823878e-16	4.410986e-16	6.599469e-16	-2.0262604e-16	-4.8308206	750	4.806875e-06
1.1600714219837131e-09	0.00052960205	0.00071974844	0.77320594	0	0	0.24983999	4.8784164e-16	-4.0845975e-16	4.4137847e-16	6.5953167e-16	-2.025615e-16	-8.11678	750	4.7478384e-06
1.1700123461842865e-09	-0.001505934	0.0021671832	0.7724659	0	0	0.24983	4.8899593e-16	-4.0793303e-16	4.410225e-16	6.6429533e-16	-2.023596e-16	-9.01822	750	4.195168e-06
